zone,number,english_name,korean_name,lat,lng
1,101,Administration Building & ERICA Convergence Center,본관 및 ERICA융합원,37.299,126.8331
1,102,Student Welfare Building,학생복지관,37.2981,126.8345
1,103,Student Union(Uni Center),학생회관(유니센터),37.2975,126.8348
1,104,Engineering Building II,제2공학관,37.297,126.8329
1,105,Architectural Design Hall,건축디자인관,,
1,106,Structural Experiment Laboratory,초대형구조실험동,37.2968,126.8324
1,107,Environment Experiment Center,풍환경실험관,37.2964,126.832
1,108,Smart Construction Education Building,스마트컨스트럭션교육관,,
1,109,Design Culture Hall,디자인문화관,37.2968,126.8316
1,110,Design Education Hall,디자인교육관,37.297,126.8312
1,111,Design Research Hall,디자인연구관,37.2973,126.832
1,112,Smart Architecture Hall,스마트건축관,,
2,201,Business and Economics Hall,경상관,37.2999,126.8359
2,202,Solseong Hall,솔성관,,
2,203,Social Education Building & R.O.T.C.,사회교육관 및 학군단,37.3,126.8344
2,204,Ilsin Hall,일신재,,
2,205,Sciences and Technology Building I,제1과학기술관,37.2988,126.8358
2,206,Conference Hall,컨퍼런스홀,37.2991,126.8368
2,207,Sciences and Technology Building II,제2과학기술관,37.2986,126.8372
2,208,Hanyang Institute for Precision Therapeutics,한양 맞춤의약연구원,37.2985,126.8363
2,209,Educational Building I,제1학술관,37.2982,126.8359
3,301,Engineering Building I,제1공학관,37.2975,126.8372
3,302,Facilities Management Building,폐수처리장관리동,,
3,303,Engineering Building III,제3공학관,37.2975,126.8362
3,304,Engineering Building IV,제4공학관,37.2969,126.8362
3,305,Engineering Building V,제5공학관,37.2969,126.8373
3,306,Bus Stop and Student Lounge (Shuttlecoke),셔틀콕,37.2988,126.8381
3,307,Hanyang ERICA Convention Center,ERICA컨벤션센터,37.2981,126.8386
3,308,Hanyang Business Incubator,창업보육센터,37.2956,126.8372
3,309,Pharmacy Building,약학관,37.2964,126.8378
3,310,Animal Experiment Laboratory,동물실험동,,
3,311,ERICA Support Center,학연산클러스터지원센터,37.2964,126.8389
3,312,ERICC Building,산학연협력관,,
3,313,Hanyang Accelerated Pavement Testing Building,포장가속실험동,37.2968,126.84
3,314,Applied Research Center for Electro-Fusion Technology,퓨전전기기술응용연구센터,37.2964,126.8399
3,315,BMR Center,BMR센터,,
3,316,Lion's Hall,라이언즈홀,37.2958,126.8413
3,317,Multidisciplinary Lecture Hall,융합교육관,,
3,318,Hall of SHARE Business,SHARE사업관,,
4,401,ERICA Library & Academic Information Center,ERICA 학술정보관,37.2967,126.8352
4,402,Gymnasium,체육관,37.2959,126.8336
4,403,Muse Hall,실용음악관,37.2961,126.8331
4,404,Sports Stadium,대운동장,37.2947,126.833
4,405,Tennis Courts,테니스장,37.2942,126.8347
5,501,Student Residence Hall IV,창의관,,
5,502,Student Residence Hall III,인재관,37.2924,126.8354
5,503,Student Residence Hall V,행복관,37.2924,126.8369
5,504,Residential College,창의인재원 교육관,37.2914,126.8363
C,C01,Gyeonggi Technology Park,경기테크노파크,37.2901,126.8295
C,C02,Korea Testing Laboratory,한국산업기술시험원,37.291,126.8322
C,C03,Korea Institute of Industrial Technology,한국생산기술연구원 융합생산기술연구소,37.2955,126.8388
C,C04,Korea Electrotechnology Research Institute,한국전기연구원,37.2914,126.8423
C,C05,LG Innotek Ansan R&D Research Center,LG 이노텍 안산 R&D 연구소,37.2973,126.8423
C,C06,Hanyang University ERICA Innovation Park,캠퍼스 혁신파크,,
