# ERICA Nav — Shuttle bus timetable data
#
# HOW TO EDIT: this file drives the "Shuttle" tab in the app. Edit rows below in Excel/Sheets
# and re-upload/replace this file — changes show up next time the app loads.
#
# One row = one bus departure (a stop the bus leaves from, at a time, on a route).
#
# Column guide:
#  period       semester | session | vacation   (which part of the academic calendar this applies to)
#  day_type     weekday | holiday                (weekday = Mon-Fri class days; holiday = weekends + public holidays)
#  stop         res | cock | hda | apt            (boarding stop code — see stop_name for the full name)
#  stop_name    full name of the boarding stop (for reference only — editing this column does nothing; edit "stop")
#  time         24-hour HH:MM departure time from that stop
#  route_code   C | DH | DY | D | J               (which route this departure runs — see route_name)
#  route_name   full name of the route (for reference only — editing this column does nothing; edit "route_code")
#
# Route codes: C = Cycle route, stops at every stop in order (Residence -> Shuttlecock -> Handaeap Stn -> Yesulin APT).
#              DH = Direct to Handaeap Stn (skips stops in between). DY = Direct to Yesulin APT. D = generic direct route.
#              J = Via Jungang Stn detour (only these runs stop at Jungang Stn).
#
# Stop codes:  res = ERICA Residence · cock = Shuttlecock stop (campus) · hda = Handaeap Stn (Line 4) · apt = Yesulin APT (Ansan terminal)
#
# To add a departure: add a new row with the same period/day_type/stop and a new time+route_code.
# To remove one: delete its row. To change a time: edit the "time" cell.
#
period,day_type,stop,stop_name,time,route_code,route_name
semester,weekday,res,ERICA Residence,07:45,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,09:55,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:00,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:05,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:10,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:15,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:15,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,10:20,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:25,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:35,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:45,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,10:45,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,10:55,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,11:10,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,11:15,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,11:25,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,11:40,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,11:45,DY,Direct - Yesulin APT
semester,weekday,res,ERICA Residence,11:55,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:05,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:15,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,12:20,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:25,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:35,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:45,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,12:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,13:10,J,Via Jungang Stn
semester,weekday,res,ERICA Residence,13:15,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,13:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,13:40,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,13:45,D,Direct route
semester,weekday,res,ERICA Residence,13:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,14:10,J,Via Jungang Stn
semester,weekday,res,ERICA Residence,14:20,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,14:30,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,14:40,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,14:55,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,15:05,J,Via Jungang Stn
semester,weekday,res,ERICA Residence,15:15,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,15:25,C,Cycle route (all stops)
semester,weekday,res,ERICA Residence,15:35,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,15:45,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,15:55,DH,Direct - Handaeap Stn
semester,weekday,res,ERICA Residence,15:55,DY,Direct - Yesulin APT
